portfolio_name,as_of_date,portfolio_rank,ticker,company,sector,sub_industry,weight,weight_pct,model_used,calibrated_pred,predicted_excess_return,predicted_target,reason,top_positive_features,top_negative_features,current_market_cap,current_forward_pe,current_trailing_pe,current_price_to_book,beta,current_revenue_growth,current_earnings_growth,current_profit_margin,current_operating_margin,current_num_analyst_opinions,current_recommendation_mean,current_recommendation_key,current_target_mean_price,current_dividend_yield,currency,exchange,snapshot_date,strategy_description,not_financial_advice
core_alpha,2025-12-31,1,NOW,ServiceNow,Technology,Systems Software,0.07235793395582368,7.235793395582368,core_alpha_v4,2.3495783037367617,0.5842534125227673,0.46011326324963636,Positive drivers: quality/value composite=0.313 (SHAP +0.0980); sector-relative cheap P/E=0.244 (SHAP +0.0745); P/E ratio=57.880 (SHAP +0.0458) | Watchouts: low-volatility rank=0.208 (SHAP -0.0128); Core defensive value composite=0.449 (SHAP -0.0039),"quality_value_combo, sector_pe_cheap_rank, pe_ratio","low_vol_rank, core_defensive_value_combo",109112393728,21.047647,62.976192,9.303553,0.927,0.221,0.023,0.12586,0.13342,46.0,1.4375,strong_buy,141.12239,,USD,NYQ,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,2,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,0.07474373832877428,7.474373832877427,core_alpha_v4,2.3495783037367617,0.6144767086847303,0.47901088477873516,Positive drivers: 12M volatility=0.037 (SHAP +0.1654); quality/value composite=0.054 (SHAP +0.1038); ranked quality/value composite=0.054 (SHAP +0.0444) | Watchouts: P/E ratio=391.33 (SHAP -0.0570); sector-relative valuation composite=0.042 (SHAP -0.0106),"vol_12m, quality_value_combo, quality_value_combo_ranked","pe_ratio, sector_valuation_rank_combo",11381990400,11.706744,339.0,0.9713467,1.442,0.022,-0.318,-0.02083,0.095410004,14.0,,none,12.64286,2.03,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,3,VST,Vistra Corp.,Utilities,Electric Utilities,0.07707981297882442,7.7079812978824425,core_alpha_v4,2.3495783037367617,0.7182732115435885,0.5413198397562629,Positive drivers: 12M volatility=0.042 (SHAP +0.1389); quality/value composite=0.099 (SHAP +0.0619); low-volatility rank=0.024 (SHAP +0.0407) | Watchouts: sector-relative valuation composite=0.032 (SHAP -0.0054); 6M momentum rank=0.141 (SHAP -0.0016),"vol_12m, quality_value_combo, low_vol_rank","sector_valuation_rank_combo, ret_6m_rank",51642867712,14.17248,25.612041,16.59012,1.405,0.434,,0.11525,0.26578,18.0,1.4,strong_buy,222.88889,0.58,USD,NYQ,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,4,TSLA,"Tesla, Inc.",Consumer Cyclical,Automobile Manufacturers,0.06991848472218466,6.991848472218466,core_alpha_v4,1.8974773700434915,0.5497909918248818,0.43812007785494067,Positive drivers: 12M volatility=0.040 (SHAP +0.1437); quality/value composite=0.036 (SHAP +0.0857); ranked quality/value composite=0.036 (SHAP +0.0394) | Watchouts: P/E ratio=370.94 (SHAP -0.0389); drawdown=-0.082 (SHAP -0.0039),"vol_12m, quality_value_combo, quality_value_combo_ranked","pe_ratio, drawdown",1597309321216,169.97993,390.18347,19.422752,1.798,0.158,0.083,0.03946,0.04203,41.0,2.34043,buy,421.1561,,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,5,ANET,Arista Networks,Technology,Communications Equipment,0.06486006958621711,6.486006958621711,core_alpha_v4,1.674141772137189,0.518105067148135,0.4174628907733286,Positive drivers: 12M volatility=0.036 (SHAP +0.0947); quality/value composite=0.159 (SHAP +0.0659); P/E ratio=59.938 (SHAP +0.0418) | Watchouts: Core momentum/quality composite=0.926 (SHAP -0.0069); sector-relative valuation composite=0.435 (SHAP -0.0025),"vol_12m, quality_value_combo, pe_ratio","core_momentum_quality_combo, sector_valuation_rank_combo",209802805248,37.406216,57.45517,15.555969,1.611,0.351,0.25,0.38317,0.42738998,27.0,1.3,strong_buy,190.0881,,USD,NYQ,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,6,ORCL,Oracle Corporation,Technology,Application Software,0.06742091534214999,6.742091534214999,core_alpha_v4,1.674141772137189,0.5320595095812821,0.42661291493818143,Positive drivers: 12M volatility=0.039 (SHAP +0.1578); quality/value composite=0.392 (SHAP +0.0534); low-volatility rank=0.036 (SHAP +0.0327) | Watchouts: Core momentum/quality composite=0.779 (SHAP -0.0053); 12M momentum rank=0.655 (SHAP -0.0035),"vol_12m, quality_value_combo, low_vol_rank","core_momentum_quality_combo, ret_12m_rank",410467106816,13.05055,24.44254,10.927914,1.655,0.206,0.219,0.25368,0.36202,39.0,1.52381,buy,252.6405,1.36,USD,NYQ,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,7,AMAT,Applied Materials,Technology,Semiconductor Materials & Equipment,0.04448121557275825,4.448121557275825,core_alpha_v4,1.4633442121667155,0.4895871650264024,0.3984990111141796,Positive drivers: sector-relative earnings yield=0.373 (SHAP +0.0905); quality/value composite=0.325 (SHAP +0.0705); sector-relative cheap P/E=0.385 (SHAP +0.0531) | Watchouts: Core momentum/quality composite=1.241 (SHAP -0.0046); valuation composite=0.395 (SHAP -0.0046),"sector_earnings_yield_rank, quality_value_combo, sector_pe_cheap_rank","core_momentum_quality_combo, valuation_rank_combo",516796121088,39.679615,61.2333,21.614862,1.672,0.114,0.335,0.29314,0.31896,35.0,1.48718,strong_buy,578.9143,0.29,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,8,AXON,Axon Enterprise,Industrials,Aerospace & Defense,0.04773843313094599,4.7738433130945985,core_alpha_v4,1.4633442121667155,0.5157703569846267,0.41592379618440045,Positive drivers: 12M volatility=0.033 (SHAP +0.1051); quality/value composite=0.104 (SHAP +0.0754); Core defensive value composite=0.101 (SHAP +0.0319) | Watchouts: P/E ratio=270.37 (SHAP -0.0230); sector-relative cheap P/E=0.000 (SHAP -0.0097),"vol_12m, quality_value_combo, core_defensive_value_combo","pe_ratio, sector_pe_cheap_rank",47874412544,56.17514,240.46964,13.541254,1.422,0.337,0.898,0.06905,0.03748,18.0,1.6,buy,662.0378,,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,9,LITE,Lumentum,Technology,Communications Equipment,0.05085371149322702,5.085371149322702,core_alpha_v4,1.4633442121667155,0.5045793696500168,0.40851337053198017,Positive drivers: 12M volatility=0.049 (SHAP +0.1577); quality/value composite=0.024 (SHAP +0.0855); ranked quality/value composite=0.024 (SHAP +0.0394) | Watchouts: P/E ratio=256.18 (SHAP -0.0428); sector-relative cheap P/E=0.051 (SHAP -0.0385),"vol_12m, quality_value_combo, quality_value_combo_ranked","pe_ratio, sector_pe_cheap_rank",62330245120,44.186157,141.5477,19.319025,1.479,0.901,,0.17678,0.21771,25.0,1.56,buy,1111.2906,,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,10,PLTR,Palantir Technologies,Technology,Application Software,0.053846597496264775,5.384659749626477,core_alpha_v4,1.4633442121667155,0.4772451775378989,0.3901789867522118,Positive drivers: 12M volatility=0.042 (SHAP +0.1742); quality/value composite=0.046 (SHAP +0.0839); ranked quality/value composite=0.046 (SHAP +0.0339) | Watchouts: P/E ratio=232.37 (SHAP -0.0457); sector-relative cheap P/E=0.064 (SHAP -0.0456),"vol_12m, quality_value_combo, quality_value_combo_ranked","pe_ratio, sector_pe_cheap_rank",301414055936,60.387016,141.26967,35.668083,1.515,0.847,3.25,0.43673,0.46183997,27.0,1.90625,buy,182.75407,,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
core_alpha,2025-12-31,11,SNPS,Synopsys,Technology,Application Software,0.05673243215911334,5.673243215911334,core_alpha_v4,1.4633442121667155,0.503107337691043,0.40753452385029926,Positive drivers: 12M volatility=0.035 (SHAP +0.1207); quality/value composite=0.147 (SHAP +0.0404); P/E ratio=68.954 (SHAP +0.0304) | Watchouts: Core defensive value composite=0.239 (SHAP -0.0027); valuation composite=0.158 (SHAP -0.0012),"vol_12m, quality_value_combo, pe_ratio","core_defensive_value_combo, valuation_rank_combo",87033102336,26.332163,104.011444,2.8550699,1.214,0.419,-0.96,0.089090005,0.10383,24.0,1.78261,buy,563.7438,,USD,NMS,2026-07-01,Diversified rank-weighted Core Alpha basket,Research output only. Not financial advice. Do not treat this portfolio as an investment recommendation.
